foreign,foreigncountry_cleaned,shpmtyear,country_name,country_iso3,cleaned_name,cleaned_ID,cleaned_foreign
Shahid,Afghanistan,2019.0,Afghanistan,AFG,Shahid,AFG_34,Shahid
Kabul Herat Bastan Ltd.,Afghanistan,2020.0,Afghanistan,AFG,Kabul Herat Bastan,AFG_35,Kabul Herat Bastan
Kabul Herat Bastan Ltd.,Afghanistan,2019.0,Afghanistan,AFG,Kabul Herat Bastan,AFG_35,Kabul Herat Bastan
Sarai Ahmad Khan Trading Co.,Afghanistan,2019.0,Afghanistan,AFG,Sarai Ahmad Khan Trading Co,AFG_36,Sarai Ahmad Khan Trading Co
Shirkat Brotheran Allauddin,Afghanistan,2020.0,Afghanistan,AFG,Shirkat Brotheran Allauddin,AFG_37,Shirkat Brotheran Allauddin
Shirkat Brotheran Allauddin,Afghanistan,2019.0,Afghanistan,AFG,Shirkat Brotheran Allauddin,AFG_37,Shirkat Brotheran Allauddin
Unicef Kabul,Afghanistan,2019.0,Afghanistan,AFG,Unicef Kabul,AFG_38,Unicef Kabul
Unicef Kabul,Afghanistan,2020.0,Afghanistan,AFG,Unicef Kabul,AFG_38,Unicef Kabul
Burhan Group,Afghanistan,2019.0,Afghanistan,AFG,Burhan Group,AFG_39,Burhan Group
Hikmat Hanifi,Afghanistan,2019.0,Afghanistan,AFG,Hikmat Hanifi,AFG_4,Hikmat Hanifi
Hikmat Hanifi,Afghanistan,2020.0,Afghanistan,AFG,Hikmat Hanifi,AFG_4,Hikmat Hanifi
Hikmat Hanifi Ltd.,Afghanistan,2019.0,Afghanistan,AFG,Hikmat Hanifi,AFG_4,Hikmat Hanifi
Hikmat Hanifi Ltd.,Afghanistan,2020.0,Afghanistan,AFG,Hikmat Hanifi,AFG_4,Hikmat Hanifi
Habib Gulzar Motors,Afghanistan,2019.0,Afghanistan,AFG,Habib Gulzar Motors,AFG_40,Habib Gulzar Motors
Habib Gulzar Motors,Afghanistan,2020.0,Afghanistan,AFG,Habib Gulzar Motors,AFG_40,Habib Gulzar Motors
Arif Khan Co. Ldt,Afghanistan,2020.0,Afghanistan,AFG,Arif Khan Co Ldt,AFG_41,Arif Khan Co Ldt
Arif Khan Co. Ldt,Afghanistan,2019.0,Afghanistan,AFG,Arif Khan Co Ldt,AFG_41,Arif Khan Co Ldt
Iftikhar Siddique,Afghanistan,2019.0,Afghanistan,AFG,Iftikhar Siddique,AFG_42,Iftikhar Siddique
Momin Group Of,Afghanistan,2019.0,Afghanistan,AFG,Momin Group Of,AFG_43,Momin Group Of
Momin Group Of,Afghanistan,2020.0,Afghanistan,AFG,Momin Group Of,AFG_43,Momin Group Of
New Sadiq,Afghanistan,2019.0,Afghanistan,AFG,New Sadiq,AFG_44,New Sadiq
New Sadiq,Afghanistan,2020.0,Afghanistan,AFG,New Sadiq,AFG_44,New Sadiq
Rahmatullah S O Muhammad Shah,Afghanistan,2020.0,Afghanistan,AFG,Rahmatullah S O Muhammad Shah,AFG_45,Rahmatullah S O Muhammad Shah
Rahmatullah S O Muhammad Shah,Afghanistan,2019.0,Afghanistan,AFG,Rahmatullah S O Muhammad Shah,AFG_45,Rahmatullah S O Muhammad Shah
Nawi Khaibar Dara Transit Forwading,Afghanistan,2020.0,Afghanistan,AFG,Nawi Khaibar Dara Transit Forwading,AFG_46,Nawi Khaibar Dara Transit Forwading
Nawi Khaibar Dara Transit Forwarding,Afghanistan,2019.0,Afghanistan,AFG,Nawi Khaibar Dara Transit Forwading,AFG_46,Nawi Khaibar Dara Transit Forwarding
Nawi Khaibar Dara Transit Forwarding,Afghanistan,2020.0,Afghanistan,AFG,Nawi Khaibar Dara Transit Forwading,AFG_46,Nawi Khaibar Dara Transit Forwarding
Nawi Khaibar Dara Transit Forwading,Afghanistan,2019.0,Afghanistan,AFG,Nawi Khaibar Dara Transit Forwading,AFG_46,Nawi Khaibar Dara Transit Forwading
Mohsin Afghan Trading Co.,Afghanistan,2020.0,Afghanistan,AFG,Mohsin Afghan Trading Co,AFG_47,Mohsin Afghan Trading Co
Pak Qalandari Trading,Afghanistan,2020.0,Afghanistan,AFG,Pak Qalandari Trading,AFG_48,Pak Qalandari Trading
Pak Qalandari Trading,Afghanistan,2019.0,Afghanistan,AFG,Pak Qalandari Trading,AFG_48,Pak Qalandari Trading
New Sitara Transit Forwarding,Afghanistan,2020.0,Afghanistan,AFG,New Sitara Transit Forwarding,AFG_49,New Sitara Transit Forwarding
Sami Nasrat Ltd. License,Afghanistan,2020.0,Afghanistan,AFG,Sami Nasrat License,AFG_5,Sami Nasrat License
Sami Nasrat Ltd. License,Afghanistan,2019.0,Afghanistan,AFG,Sami Nasrat License,AFG_5,Sami Nasrat License
Sami Nasrat Ltd.,Afghanistan,2020.0,Afghanistan,AFG,Sami Nasrat,AFG_50,Sami Nasrat
Sami Nasrat Ltd.,Afghanistan,2019.0,Afghanistan,AFG,Sami Nasrat,AFG_50,Sami Nasrat
Sadeeq Amin Ali,Afghanistan,2020.0,Afghanistan,AFG,Sadeeq Amin Ali,AFG_51,Sadeeq Amin Ali
Sadeeq Amin Ali,Afghanistan,2019.0,Afghanistan,AFG,Sadeeq Amin Ali,AFG_51,Sadeeq Amin Ali
Unicef Kabul Supply Logistics,Afghanistan,2019.0,Afghanistan,AFG,Unicef Kabul Supply Logistics,AFG_52,Unicef Kabul Supply Logistics
Sami Nasrat Trading Co.,Afghanistan,2020.0,Afghanistan,AFG,Sami Nasrat Trading Co,AFG_53,Sami Nasrat Trading Co
Sami Nasrat Trading Co.,Afghanistan,2019.0,Afghanistan,AFG,Sami Nasrat Trading Co,AFG_53,Sami Nasrat Trading Co
Rahman Amin Karwan Rak,Afghanistan,2019.0,Afghanistan,AFG,Rahman Amin Karwan Rak,AFG_54,Rahman Amin Karwan Rak
Amanzada Group,Afghanistan,2019.0,Afghanistan,AFG,Amanzada Group,AFG_55,Amanzada Group
Omaid Selab,Afghanistan,2020.0,Afghanistan,AFG,Omaid Selab,AFG_56,Omaid Selab
Zemawal Ltd.,Afghanistan,2020.0,Afghanistan,AFG,Zemawal,AFG_57,Zemawal
Zemawal Ltd.,Afghanistan,2019.0,Afghanistan,AFG,Zemawal,AFG_57,Zemawal
Nik Mohammadi Afghan,Afghanistan,2019.0,Afghanistan,AFG,Nik Mohammadi Afghan,AFG_58,Nik Mohammadi Afghan
Jami Tarabar Shargh,Afghanistan,2020.0,Afghanistan,AFG,Jami Tarabar Shargh,AFG_59,Jami Tarabar Shargh
Hafiz Aman Ltd.,Afghanistan,2019.0,Afghanistan,AFG,Hafiz Aman,AFG_6,Hafiz Aman
Hafiz Aman Ltd.,Afghanistan,2020.0,Afghanistan,AFG,Hafiz Aman,AFG_6,Hafiz Aman
Sareh Graphics,Afghanistan,2020.0,Afghanistan,AFG,Sareh Graphics,AFG_60,Sareh Graphics
Bais Noori,Afghanistan,2019.0,Afghanistan,AFG,Bais Noori,AFG_61,Bais Noori
Bais Noori,Afghanistan,2020.0,Afghanistan,AFG,Bais Noori,AFG_61,Bais Noori
Shiba Washing Cleaning,Afghanistan,2019.0,Afghanistan,AFG,Shiba Washing Cleaning,AFG_62,Shiba Washing Cleaning
Zarnegar Tarabar Asia International Tpt,Afghanistan,2020.0,Afghanistan,AFG,Zarnegar Tarabar Asia International Tpt,AFG_63,Zarnegar Tarabar Asia International Tpt
Ariana Niazi Detergents Mfg. Co.,Afghanistan,2019.0,Afghanistan,AFG,Ariana Niazi Detergents Mfg Co,AFG_64,Ariana Niazi Detergents Mfg Co
